university,faculty,major,course_code,course_name,component,credits,recommended_semester,prerequisite
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA2007,Mobile Application Development,Programme Core,4,3,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA3001,Industrial Training,Programme Core,12,5,Pass all Faculty and Programme Core Courses except Academic Project I/II
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA3002,Academic Project I,Programme Core,3,6,Pass all Faculty and Programme Core Courses except Industrial Training and Academic Project II
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA3003,Academic Project II,Programme Core,5,7,WIA3002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIC2008,Internet of Things,Specialization Elective,3,1 or 2,WIA1005
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID2001,Knowledge Representation and Reasoning,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID2002,Computing Mathematics II,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID2003,Cognitive Science,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID3001,Functional and Logic Programming,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID3002,Natural Language Processing,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID3007,Fuzzy Logic,Specialization Elective,3,1 or 2,WIX1001
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID3010,Autonomous Robots,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID3011,Deep Learning,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID3012,Evolutionary Computation,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID3013,Computer Vision and Pattern Recognition,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID3014,Practical Artificial Intelligence,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WID3015,Numerical Analysis,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIG3004,Virtual Reality,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),GIG1012,Philosophy and Current Issues,University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),GLT1049,Basic Malay Language,University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),GIG1013,Appreciation of Ethics and Civilizations,University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),GIG1003,Basic Entrepreneurship Culture,University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),GLTXXXX,English for Communication (1),University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),GLTXXXX,English for Communication (2),University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),Co-Curriculum (1),Co-Curriculum (1),University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),Co-Curriculum (2),Co-Curriculum (2),University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIX1001,Computing Mathematics I,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIX1002,Fundamentals of Programming,Faculty Core,5,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIX1003,Computer Systems and Organization,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIX2001,Thinking and Communication Skills,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIX2002,Project Management,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),SHE Cluster 1,University Elective (Cluster 1) - Thinking Matters: Mind & Intellect,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),SHE Cluster 2,University Elective (Cluster 2) - Technology/Artificial Intelligence and Data Analytics: i-Techie,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),SHE Cluster 3,University Elective (Cluster 3) - Global Issues and Community Sustainability,SHE Elective,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),KIAR,Integrity and Anti-Corruption course,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA1002,Data Structure,Programme Core,5,2,WIX1002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA1003,Computer System Architecture,Programme Core,3,2,WIX1003
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA1005,Network Technology Foundation,Programme Core,4,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA1006,Machine Learning,Programme Core,3,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA2001,Database,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA2003,Probability and Statistics,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA2004,Operating Systems,Programme Core,4,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA2005,Algorithm Design and Analysis,Programme Core,4,2,WIA1002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA2006,System Analysis and Design,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA2008,Advanced Network Technology,Programme Core,4,1,WIA1005
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA2009,Digital Design and Hardware Description Language,Programme Core,3,1,WIA1003 & WIX1003
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA3001,Industrial Training,Programme Core,12,1,Pass all Faculty and Programme Core Courses except Academic Project I/II
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA3002,Academic Project I,Programme Core,3,2,Pass all Faculty and Programme Core Courses except Industrial Training and Academic Project II
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIA3003,Academic Project II,Programme Core,5,1,WIA3002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC2002,Network Security,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC2004,Internet Technology,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC2005,Programmable Network,Specialization Elective,3,1 or 2,WIA2008
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC2006,Digital Forensic,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC2007,Cyber Security,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC2008,Internet of Things,Specialization Elective,3,1 or 2,WIA1005
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC3001,Mathematics in Networking,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC3002,Cryptography,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC3003,Embedded System Programming,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC3004,Computer Penetration,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC3005,Enterprise Network Design and Management,Specialization Elective,3,1 or 2,WIA1005
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC3006,Mobile Computing,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC3007,Principles of Distributed System,Specialization Elective,3,1 or 2,WIA1005
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC3008,Microprocessor,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Computer System and Network),WIC3009,Parallel Programming,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),GIG1012,Philosophy and Current Issues,University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),GLT1049,Malay Language Communication,University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),GIG1013,Appreciation of Ethics and Civilizations,University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),GIG1003,Basic Entrepreneurship Culture,University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),GLTXXXX,English for Communication (1),University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),GLTXXXX,English for Communication (2),University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),Co-Curriculum (1),Co-Curriculum (1),University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),Co-Curriculum (2),Co-Curriculum (2),University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIX1001,Computing Mathematics I,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIX1002,Fundamentals of Programming,Faculty Core,5,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIX1003,Computer Systems and Organization,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIX2001,Thinking and Communication Skills,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIX2002,Project Management,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),SHE Cluster 1,University Elective (Cluster 1) - Thinking Matters: Mind & Intellect,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),SHE Cluster 2,University Elective (Cluster 2) - Technology/Artificial Intelligence and Data Analytics: i-Techie,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),SHE Cluster 3,University Elective (Cluster 3) - Global Issues and Community Sustainability,SHE Elective,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),KIAR,Integrity and Anti-Corruption course,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA1001,Information Systems,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA1002,Data Structure,Programme Core,5,2,WIX1002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA1003,Computer System Architecture,Programme Core,3,2,WIX1003
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA1005,Network Technology Foundation,Programme Core,4,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA1006,Machine Learning,Programme Core,3,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA2001,Database,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA2003,Probability and Statistics,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA2004,Operating Systems,Programme Core,4,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA2005,Algorithm Design and Analysis,Programme Core,4,2,WIA1002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA2006,System Analysis and Design,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA2007,Mobile Application Development,Programme Core,4,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA3001,Industrial Training,Programme Core,12,1,Pass all Faculty and Programme Core Courses except Academic Project I/II
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA3002,Academic Project I,Programme Core,3,2,Pass all Faculty and Programme Core Courses except Industrial Training and Academic Project II
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIA3003,Academic Project II,Programme Core,5,1,WIA3002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIC2008,Internet of Things,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE2001,Trends in Information Systems,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE2002,Open-Source Programming: Application and Technology,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE2003,Introduction to Data Science,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE2005,Information Retrieval and Web Search,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE3001,Advanced Database,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE3002,Electronic Commerce,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE3003,Information System Control and Security,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE3005,Knowledge Management and Engineering,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE3006,Information System Auditing,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE3007,Data Mining and Warehousing,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE3010,Data Visualization,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIE3012,Business Analytics and Intelligence,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Information Systems),WIF2003,Web Programming,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),GIG1012,Philosophy and Current Issues,University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),GLT1049,Malay Language Communication,University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),GIG1013,Appreciation of Ethics and Civilizations,University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),GIG1003,Basic Entrepreneurship Culture,University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),GLTXXXX,English for Communication (1),University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),GLTXXXX,English for Communication (2),University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),Co-Curriculum (1),Co-Curriculum (1),University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),Co-Curriculum (2),Co-Curriculum (2),University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIX1001,Computing Mathematics I,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIX1002,Fundamentals of Programming,Faculty Core,5,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIX1003,Computer Systems and Organization,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIX2001,Thinking and Communication Skills,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIX2002,Project Management,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),SHE Cluster 1,University Elective (Cluster 1) - Thinking Matters: Mind & Intellect,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),SHE Cluster 2,University Elective (Cluster 2) - Technology/Artificial Intelligence and Data Analytics: i-Techie,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),SHE Cluster 3,University Elective (Cluster 3) - Global Issues and Community Sustainability,SHE Elective,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),KIAR,Integrity and Anti-Corruption course,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA1002,Data Structure,Programme Core,5,2,WIX1002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA1003,Computer System Architecture,Programme Core,3,2,WIX1003
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA1005,Network Technology Foundation,Programme Core,4,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA1006,Machine Learning,Programme Core,3,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA2001,Database,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA2002,Software Modeling,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA2003,Probability and Statistics,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA2004,Operating Systems,Programme Core,4,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA2005,Algorithm Design and Analysis,Programme Core,4,2,WIA1002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA2007,Mobile Application Development,Programme Core,4,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA2010,Human Computer Interaction,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA3001,Industrial Training,Programme Core,12,1,Pass all Faculty and Programme Core Courses except Academic Project I/II
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA3002,Academic Project I,Programme Core,3,2,Pass all Faculty and Programme Core Courses except Industrial Training and Academic Project II
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIA3003,Academic Project II,Programme Core,5,1,WIA3002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIF2002,Software Requirements Engineering,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIF2003,Web Programming,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIF3001,Software Testing,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIF3002,Software Process and Quality,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIF3004,Software Architecture and Design Paradigms,Specialization Elective,3,1 or 2,WIA2002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIF3005,Software Maintenance and Evolution,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIF3006,Component Based Software Engineering,Specialization Elective,3,1 or 2,WIA2002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIF3008,Real Time Systems,Specialization Elective,3,1 or 2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Software Engineering),WIF3009,Python for Scientific Computing,Specialization Elective,3,1 or 2,None
